Ord i en arabisk Koran; 157_935
Antal tegn i thorvalds/linux på Github; 12_389_894
Antal år nåletræer har eksisteret; 150_000_000
Antal træer i verden; 3_000_000_000_000
Udledning fra Taylor Swifts privatfly i 2023 i kg CO2e; 1_200_000
Danmarks samlede elforbrug d. 24. december 2022 i KWh; 93_793_000
Tesla'er solgt i Danmark før november 2023; 55_075
Afstand i km mellem Jorden og Mars, når de er tættest på hinanden; 54_600_000
Tweets tweetet i 2023; 190_000_000_000
Aktive dating-app-profiler i 2022; 337_300_000
Kondomer solgt på verdensplan om året; 7_500_000_000
Børn født i Indien i 2023; 23_219_489
Rubler per amerikansk dollar, da den russiske økonomi var værst i 2022; 127
Danskernes indkøb af fyrværkeri i 2023 i kroner; 450_000_000
